"id","time","title","type","day"
"2832","2:00 PM - 3:50 PM ","Novel Theory in Statistical Inference","Contributed Papers ","Sunday, August 3, 2025"
"2517","2:00 PM - 3:50 PM ","Practical Implementation of Bayesian Approaches in Drug Development","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1849","2:00 PM - 3:50 PM ","Probability Samples, Nonprobability Samples, or Both?","Topic-Contributed Panel Session ","Sunday, August 3, 2025"
"2106","2:00 PM - 3:50 PM ","Recent Advances in Changepoint Modeling","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1416","2:00 PM - 3:50 PM ","Recent Advances in High-dimensional Probability and Combinatorial Optimization","Invited Panel Session ","Sunday, August 3, 2025"
"1043","2:00 PM - 3:50 PM ","Recent Advances in Statistical Learning for Optimal Decision-Making with Applications","Invited Paper Session ","Sunday, August 3, 2025"
"3086","2:00 PM - 4:00 PM ","Section for Statistical Programmers and Analysts Business Meeting - by invitation only","ASA Meetings and Events ","Sunday, August 3, 2025"
"2930","2:00 PM - 3:50 PM ","Section on Statistics in Imaging Contributed Session 1","Contributed Papers ","Sunday, August 3, 2025"
"4267","2:00 PM - 3:50 PM ","SPEED 1: Data Challenge and Prediction Modelling, Part 1","Contributed Speed ","Sunday, August 3, 2025"
"1140","2:00 PM - 3:50 PM ","Statistical Reinforcement Learning for Societal Applications","Invited Paper Session ","Sunday, August 3, 2025"
"1648","2:00 PM - 3:50 PM ","Statistics for Large Language Models and Large Language Models for Statistics","Invited Paper Session ","Sunday, August 3, 2025"
"1928","2:00 PM - 3:50 PM ","Student Paper Award and John M. Chambers Statistical Software Award","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2501","2:00 PM - 3:50 PM ","Study Designs for Social Networks at Different Stages of the Experimental Process","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2810","2:00 PM - 3:50 PM ","Survival Analysis in Clinical Trials: Innovative Methods and Applications","Contributed Papers ","Sunday, August 3, 2025"
"1843","2:00 PM - 3:50 PM ","The Thriving Neurodivergent Statistician and Data Scientist: Success and Learning Opportunities within the Field","Topic-Contributed Panel Session ","Sunday, August 3, 2025"
"1844","2:00 PM - 3:50 PM ","What Educated Citizens Should Know About Statistics and Probability, Revisited","Topic-Contributed Panel Session ","Sunday, August 3, 2025"
"4256","3:30 PM - 4:30 PM ","ASA Development Committee Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"5172","3:30 PM - 4:00 PM ","JSM Spotlight: Sample Nashville's official candy","JSM Hours ","Sunday, August 3, 2025"
"1177","4:00 PM - 5:50 PM ","A Guideline for Handling Longitudinal Data Subject to Irregular Observation","Invited Panel Session ","Sunday, August 3, 2025"
"2929","4:00 PM - 5:50 PM ","Advanced Computational and Graphical Methods in Genomics and Genetics","Contributed Papers ","Sunday, August 3, 2025"
"2070","4:00 PM - 5:50 PM ","Advances in Time Series Modeling: Applications to VAR, Non-Gaussian Processes, and Changepoints","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2319","4:00 PM - 5:50 PM ","Advances in Time-Series Analysis for Astronomy's Big Data Era","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2455","4:00 PM - 5:50 PM ","Anomalous data detection through AI/ML","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2187","4:00 PM - 5:50 PM ","Applications and Advances of Regime Switching Models","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1257","4:00 PM - 5:50 PM ","Artificial Intelligence in Transportation","Invited Paper Session ","Sunday, August 3, 2025"
"2729","4:00 PM - 5:15 PM ","ASA Membership Council","ASA Meetings and Events ","Sunday, August 3, 2025"
"1702","4:00 PM - 5:50 PM ","Assessing the Health of the Federal Statistical Agencies—the Year 2 Report","Invited Panel Session ","Sunday, August 3, 2025"
"2793","4:00 PM - 5:50 PM ","Categorical Data and Longitudinal/Correlated Data Current Research","Contributed Papers ","Sunday, August 3, 2025"
"2598","4:00 PM - 5:50 PM ","Causal Inference and Generative AI: Discovering Causal Relations Using Large Language Models","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2817","4:00 PM - 5:50 PM ","Denoising and Enhancing Data Analysis: Capturing True Signals and Addressing Errors with Advanced Statistical Approaches","Contributed Papers ","Sunday, August 3, 2025"
"2021","4:00 PM - 5:50 PM ","ENVR Student Paper Competition","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1853","4:00 PM - 5:50 PM ","Generative AI in Business Analytics Education: Preparing Students for an AI-Driven Workforce","Topic-Contributed Panel Session ","Sunday, August 3, 2025"
"2531","4:00 PM - 5:50 PM ","Harnessing the power of large-scale and heterogeneous data with integrative analysis","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1809","4:00 PM - 5:50 PM ","Improving Dose Selection in Drug Development: Efficient Modeling Approaches Based on Early Data","Invited Paper Session ","Sunday, August 3, 2025"
"1867","4:00 PM - 5:50 PM ","Innovative Analytic Strategies for Navigating Nonprobability Samples","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"1215","4:00 PM - 5:50 PM ","Innovative Data Science and Statistical Methods for Small Domain Estimation and Dissemination","Invited Paper Session ","Sunday, August 3, 2025"
"2566","4:00 PM - 5:50 PM ","Integrative Statistical Methods for Health Data and Microbiome Research","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"4482","4:00 PM - 5:50 PM ","IOL: A general introduction to hybrid statistical-deep learning methods for spatial and spatio-temporal data","Introductory Overview Lectures ","Sunday, August 3, 2025"
"2789","4:00 PM - 5:50 PM ","Latest Research in Genomics and Microbiome with a Hint of Bayesian","Contributed Papers ","Sunday, August 3, 2025"
"1729","4:00 PM - 5:50 PM ","Learning to Manage: Running a Collaborative or Consulting Program in Academia","Invited Panel Session ","Sunday, August 3, 2025"
"2896","4:00 PM - 5:50 PM ","Machine learning for biomedical applications and time-to-event data","Contributed Papers ","Sunday, August 3, 2025"
"2906","4:00 PM - 5:50 PM ","Methods for Dynamic and Spatio-temporal Data","Contributed Papers ","Sunday, August 3, 2025"
"2082","4:00 PM - 5:50 PM ","Methods for multivariate response data with complex exposure-response relations","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2863","4:00 PM - 5:50 PM ","Modern Nonparametric Techniques: Beta-Trees, Ranked-Set Sampling, and Function-Valued parameters","Contributed Papers ","Sunday, August 3, 2025"
"1793","4:00 PM - 5:50 PM ","Multilayer networks: new methods and applications","Invited Paper Session ","Sunday, August 3, 2025"
"1313","4:00 PM - 5:50 PM ","New Advances in Optimization Algorithms for Causal Discovery","Invited Paper Session ","Sunday, August 3, 2025"
"1672","4:00 PM - 5:50 PM ","New Possibilities in Statistics Instruction: Current Trends and Future Directions","Invited Paper Session ","Sunday, August 3, 2025"
"2495","4:00 PM - 5:50 PM ","Novel Statistical Methods for the Design and Analysis of Two-Phase Studies","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2737","4:00 PM - 5:30 PM ","Professional Issues and Visibility Council","ASA Meetings and Events ","Sunday, August 3, 2025"
"2938","4:00 PM - 5:50 PM ","Quantifying Bias, Inequality, and Violence: Advances in Statistics and Justice","Contributed Papers ","Sunday, August 3, 2025"
"1344","4:00 PM - 5:50 PM ","Recent Advances in Bayesian Transfer Learning","Invited Paper Session ","Sunday, August 3, 2025"
"2831","4:00 PM - 5:50 PM ","Recent Advances in Machine Learning and Data Science","Contributed Papers ","Sunday, August 3, 2025"
"1417","4:00 PM - 5:50 PM ","Recent Advances in Statistical Methods for Integrative Analyses of Healthcare Data","Invited Paper Session ","Sunday, August 3, 2025"
"1398","4:00 PM - 5:50 PM ","Recent developments in theory, methodology, and applications of statistical shape analysis","Invited Paper Session ","Sunday, August 3, 2025"
"1243","4:00 PM - 5:50 PM ","Rietz Award & Lecture","Invited Paper Session ","Sunday, August 3, 2025"
"2926","4:00 PM - 5:50 PM ","Risk Scores and Polygenic Modeling of Genomic and Genetic Data","Contributed Papers ","Sunday, August 3, 2025"
"1262","4:00 PM - 5:50 PM ","SIAM/ASA Journal of Uncertainty Quantification Invited Paper Session","Invited Paper Session ","Sunday, August 3, 2025"
"5230","4:00 PM - 4:45 PM ","SPEED 1: Data Challenge and Prediction Modelling, Part 2","Contributed Posters ","Sunday, August 3, 2025"
"2909","4:00 PM - 5:50 PM ","Statistical Applications in Agriculture and Ecology","Contributed Papers ","Sunday, August 3, 2025"
"2894","4:00 PM - 5:50 PM ","Statistical Methods for Time Series Data and Change Point Detection","Contributed Papers ","Sunday, August 3, 2025"
"1459","4:00 PM - 5:50 PM ","Statistics at a crossroad: a theoretical perspective","Invited Paper Session ","Sunday, August 3, 2025"
"2889","4:00 PM - 5:50 PM ","Structure Learning and Dimension Reduction","Contributed Papers ","Sunday, August 3, 2025"
"1889","4:00 PM - 5:50 PM ","Vaccine Safety Detection using Real World Data","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2768","5:00 PM - 6:30 PM ","ASA Leaders Reception (By Invitation Only)","ASA Meetings and Events ","Sunday, August 3, 2025"
"3347","5:00 PM - 7:00 PM ","Korean International Statistical Society Board Meeting","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5092","5:00 PM - 6:00 PM ","Nature Medicine Statistical Advisory Board","ASA Meetings and Events ","Sunday, August 3, 2025"
"4426","5:30 PM - 6:30 PM ","Isolated Statisticians Annual Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"2754","6:00 PM - 7:00 PM ","Business and Economic Statistics (BES) Section Executive Committee Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"3244","6:00 PM - 7:30 PM ","Cancer Center Biostatistics Directors Meeting","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"3764","6:00 PM - 9:00 PM ","ICSA Board Member Meeting","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5055","6:00 PM - 7:30 PM ","Purdue University Alumni and Friends Reception","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5232","7:00 PM - 9:00 PM ","The Ohio State University Statistics and Biostatistics Mixer","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5173","8:30 PM - 10:30 PM ","ASA Booth #","JSM Hours ","Sunday, August 3, 2025"
"5174","8:30 PM - 10:30 PM ","ASA Store","JSM Hours ","Sunday, August 3, 2025"
"5175","8:30 PM - 10:30 PM ","EXPO 2025","JSM Hours ","Sunday, August 3, 2025"
"3026","8:30 PM - 9:25 PM ","Invited E-Poster Session I","Invited Posters ","Sunday, August 3, 2025"
"4694","8:30 PM - 10:30 PM ","JSM Opening Mixer & Invited Poster Session, Sponsored by Westat and Two Sigma","ASA Meetings and Events ","Sunday, August 3, 2025"
"3027","9:35 PM - 10:30 PM ","Invited E-Poster Session II","Invited Posters ","Sunday, August 3, 2025"
"4692","7:00 AM - 8:30 AM ","Committee on Professional Ethics Business Meeting (Closed)","ASA Meetings and Events ","Monday, August 4, 2025"
"3670","7:00 AM - 8:15 AM ","Government Statistics Section A.M. Roundtable Discussion (Added Fee)","Roundtables – Breakfast ","Monday, August 4, 2025"
"4519","7:00 AM - 8:15 AM ","Health Policy Statistics Section Executive Committee Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"5176","7:00 AM - 6:00 PM ","Quiet Reflection & Mindfulness Area, sponsored by AstraZeneca","JSM Hours ","Monday, August 4, 2025"
"3896","7:00 AM - 8:15 AM ","Section on Risk Analysis Public Business Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"3671","7:00 AM - 8:15 AM ","Section on Statistical Computing A.M. Roundtable Discussion (Added Fee)","Roundtables – Breakfast ","Monday, August 4, 2025"
"3672","7:00 AM - 8:15 AM ","Section on Statistical Learning and Data Science A.M. Roundtable Discussion (Added Fee)","Roundtables – Breakfast ","Monday, August 4, 2025"
"4859","7:00 AM - 8:30 AM ","Section on Statistics and Data Science Education Executive Committee Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"5059","7:00 AM - 8:15 AM ","Section on Statistics in Defense and National Security Business Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"2731","7:00 AM - 8:00 AM ","Section on Teaching of Statistics in the Health Sciences Business Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"5177","7:00 AM - 6:00 PM ","Speaker Ready Room, sponsored by Abbvie","JSM Hours ","Monday, August 4, 2025"
"5178","7:30 AM - 6:00 PM ","JSM Help Desk/Press Desk","JSM Hours ","Monday, August 4, 2025"
"5179","7:30 AM - 6:00 PM ","JSM Main Registration","JSM Hours ","Monday, August 4, 2025"
"4540","8:00 AM - 9:30 AM ","Carnegie Mellon University Department of Statistics & Data Science Breakfast","Affiliate Meetings and Events ","Monday, August 4, 2025"
"5065","8:00 AM - 11:00 AM ","Diversity Mentoring Program","ASA Meetings and Events ","Monday, August 4, 2025"
"5069","8:00 AM - 11:00 AM ","Diversity Mentoring Program","ASA Meetings and Events ","Monday, August 4, 2025"
"5180","8:00 AM - 5:30 PM ","Exhibitor Lounge","JSM Hours ","Monday, August 4, 2025"
"5181","8:00 AM - 5:30 PM ","JSM Career Service","JSM Hours ","Monday, August 4, 2025"
"5084","8:00 AM - 9:30 AM ","Meeting for Deans and Associate Deans","ASA Meetings and Events ","Monday, August 4, 2025"
"4513","8:00 AM - 9:30 AM ","Technometrics Management Committee Meeting","ASA Meetings and Events ","Monday, August 4, 2025"
"1450","8:30 AM - 10:20 AM ","Accessible Causal Inference","Invited Paper Session ","Monday, August 4, 2025"
"2800","8:30 AM - 10:20 AM ","Advancing Clinical Research: Innovative Methods for Therapeutic Developments","Contributed Papers ","Monday, August 4, 2025"
"1852","8:30 AM - 10:20 AM ","AI & Statistical Approaches to Data Fusion","Topic-Contributed Panel Session ","Monday, August 4, 2025"
"1130","8:30 AM - 10:20 AM ","AI for AD/ADRD Care: Essentials to Improve Learning Health Systems’ Management of Aging People","Invited Paper Session ","Monday, August 4, 2025"
"2932","8:30 AM - 10:20 AM ","Applications, Innovations, and Education in Modern Statistics","Contributed Papers ","Monday, August 4, 2025"
"2925","8:30 AM - 10:20 AM ","Bayesian and Machine Learning Models in Genomics and Genetics","Contributed Papers ","Monday, August 4, 2025"
"2904","8:30 AM - 10:20 AM ","Bayesian Hierarchical Models for Environmental Data","Contributed Papers ","Monday, August 4, 2025"
"1231","8:30 AM - 10:20 AM ","Bayesian Models and Methods for Counterfactual Prediction and Causal Inference","Invited Paper Session ","Monday, August 4, 2025"
"1932","8:30 AM - 10:20 AM ","Big Data Analysis with Applications to Biostatistics","Topic-Contributed Paper Session ","Monday, August 4, 2025"
"1357","8:30 AM - 10:20 AM ","Bridging the Gap: Using Translational Statistics and Novel Endpoints to Accelerate Medical Research","Invited Paper Session ","Monday, August 4, 2025"
"2232","8:30 AM - 10:20 AM ","Computational Advances in Statistical Phylogenomics","Topic-Contributed Paper Session ","Monday, August 4, 2025"
"1712","8:30 AM - 10:20 AM ","Data Science 101 - Why Do So Many Versions of this Course Exist","Invited Panel Session ","Monday, August 4, 2025"
"4309","8:30 AM - 12:30 PM ","Disentangle the Semiparametric Structure in Statistical Models, with Applications in Causal Inference and Model Transportability","Professional Development Course/CE ","Monday, August 4, 2025"
"2813","8:30 AM - 10:20 AM ","Econometric Theory, Model Misspecification, and Inference","Contributed Papers ","Monday, August 4, 2025"
"2361","8:30 AM - 10:20 AM ","Enhancing User Experience and Safety: Data Science for Product Development at Google","Topic-Contributed Paper Session ","Monday, August 4, 2025"
"2915","8:30 AM - 10:20 AM ","Epidemiological Studies and Public Health Trends","Contributed Papers ","Monday, August 4, 2025"
"1748","8:30 AM - 10:20 AM ","Evolving Insights: The AUC/c-Index in Modern Prognostic Model Evaluation","Invited Paper Session ","Monday, August 4, 2025"
"1334","8:30 AM - 10:20 AM ","Harnessing Multi-sector Collaboration in Statistics and Artificial Intelligence for Social Welfare","Invited Paper Session ","Monday, August 4, 2025"
"1653","8:30 AM - 10:20 AM ","IMS Medallion Award & Lecture II","Invited Paper Session ","Monday, August 4, 2025"
"2914","8:30 AM - 10:20 AM ","Infectious Disease Epidemiology","Contributed Papers ","Monday, August 4, 2025"
"1069","8:30 AM - 10:20 AM ","Innovations in False Discovery Rate Control: P-values and E-values","Invited Paper Session ","Monday, August 4, 2025"
"1561","8:30 AM - 10:20 AM ","Innovative Methodologies for Spatiotemporal Modeling and Inference","Invited Paper Session ","Monday, August 4, 2025"
"1905","8:30 AM - 10:20 AM ","Innovative Statistical Approaches for Public Health and Global Epidemiology","Topic-Contributed Paper Session ","Monday, August 4, 2025"
"4476","8:30 AM - 10:20 AM ","IOL: Data Privacy and Statistical Science","Introductory Overview Lectures ","Monday, August 4, 2025"
"4467","8:30 AM - 12:00 PM ","Large Language Models for Statisticians and Data Scientists: Opportunities and Research Topics, Part 1","Professional Development Course/CE ","Monday, August 4, 2025"
"4316","8:30 AM - 5:00 PM ","Large-Scale Spatial Data Science","Professional Development Course/CE ","Monday, August 4, 2025"
"1787","8:30 AM - 10:20 AM ","Modern Innovations in Longitudinal Causal Inference for Health Applications","Invited Paper Session ","Monday, August 4, 2025"
"2025","8:30 AM - 10:20 AM ","Modern Statistical Methods and Applications that Enrich Society","Topic-Contributed Paper Session ","Monday, August 4, 2025"
"1848","8:30 AM - 10:20 AM ","Navigating the Role of an Academic Consultant: Challenges, Opportunities, and Best Practices","Topic-Contributed Panel Session ","Monday, August 4, 2025"
"1735","8:30 AM - 10:20 AM ","New Directions in Statistical Optimal Transport: Theory, Methods and Applications","Invited Paper Session ","Monday, August 4, 2025"
"2861","8:30 AM - 10:20 AM ","New Frontiers in Multivariate and High-Dimensional Statistical Inference","Contributed Papers ","Monday, August 4, 2025"
"4279","8:30 AM - 5:00 PM ","Random Effects and Recurrent Events in Survival Analysis","Professional Development Course/CE ","Monday, August 4, 2025"
"1091","8:30 AM - 10:20 AM ","Recent Innovations in Analyzing Complex Survey Data with Missing Values","Invited Paper Session ","Monday, August 4, 2025"
"2931","8:30 AM - 10:20 AM ","Section on Statistics in Imaging Contributed Session 2","Contributed Papers ","Monday, August 4, 2025"
"4319","8:30 AM - 12:00 PM ","Skills for Statistical Writing: Tips and Tricks for Improving Written Communication, Part 2","Professional Development Course/CE ","Monday, August 4, 2025"
"4268","8:30 AM - 10:20 AM ","SPEED 2: Statistical Design of Experiments and Sample Size Considerations, Part 1","Contributed Speed ","Monday, August 4, 2025"
